itteration	seed	Model complexity that maximizes marginal likelihood	Model components used to explain structure in data	ML K = 1	ML K = 2	ML K = 3	ML K = 4	ML K = 5	ML K = 6	ML K = 7	ML K = 8	ML K = 9	ML K = 10	ML K = 11	ML K = 12	ML K = 13	ML K = 14	ML K = 15
1	11	5	7	-0.40068093	-0.29212956	-0.2449314	-0.23408238	-0.23302432	-0.23710245	-0.23548272	-0.23557719	-0.24006979	-0.24529057	-0.24003692	-0.2453139	-0.2457953	-0.2401298	-0.24047117
2	1	4	7	-0.40068093	-0.29212955	-0.24493071	-0.23410193	-0.23750869	-0.2371758	-0.23717059	-0.2404842	-0.23697066	-0.24271611	-0.24007839	-0.24012586	-0.24020026	-0.24009647	-0.24036147
3	22	5	7	-0.40068093	-0.29212955	-0.24493056	-0.23408429	-0.23284856	-0.237638	-0.2400541	-0.24005424	-0.24048663	-0.24049212	-0.24076256	-0.24387344	-0.24054348	-0.24016148	-0.24023947
4	33	5	7	-0.40068093	-0.29212957	-0.2449319	-0.234088	-0.23283581	-0.23594156	-0.24007762	-0.24003218	-0.24529002	-0.2400436	-0.24241762	-0.24005684	-0.24567124	-0.24540066	-0.24353179
5	44	6	8	-0.40068093	-0.29212957	-0.24493317	-0.23408701	-0.23546372	-0.2327753	-0.23717632	-0.23547484	-0.24023828	-0.24267433	-0.24540616	-0.2436099	-0.24589794	-0.24416029	-0.24240716
6	55	5	7	-0.40068093	-0.29212954	-0.24493494	-0.23410992	-0.23304988	-0.23333182	-0.23552286	-0.24007729	-0.23705112	-0.24002992	-0.24034617	-0.24027505	-0.24536758	-0.24007962	-0.24013014
7	66	5	7	-0.40068093	-0.29212955	-0.24493086	-0.23412122	-0.23300955	-0.23549611	-0.23763334	-0.24003489	-0.24033518	-0.24052421	-0.24007338	-0.24547594	-0.24014872	-0.23828047	-0.24559898
8	77	5	7	-0.40068093	-0.29212954	-0.24493081	-0.23410179	-0.23281762	-0.23554672	-0.23547035	-0.24002489	-0.24010514	-0.24003765	-0.24012075	-0.24419201	-0.24395127	-0.2441246	-0.24596997
9	88	6	7	-0.40068093	-0.29212955	-0.24493289	-0.23411494	-0.23303023	-0.23279309	-0.23714425	-0.24023107	-0.24003885	-0.23557377	-0.24009291	-0.24008073	-0.24008718	-0.24556079	-0.24547382
10	99	5	6	-0.40068093	-0.29212957	-0.24493491	-0.2340912	-0.2332667	-0.23694667	-0.23572432	-0.24011648	-0.23729646	-0.23707811	-0.24383236	-0.24069404	-0.24414359	-0.24903364	-0.24013213
11	111	5	7	-0.40068093	-0.29212955	-0.24493138	-0.23411264	-0.23282755	-0.2354879	-0.23901924	-0.24005326	-0.24527759	-0.24011053	-0.24008349	-0.24419788	-0.24077877	-0.24014476	-0.24533423
12	222	6	7	-0.40068093	-0.29212958	-0.2449307	-0.23410909	-0.23551164	-0.2327745	-0.23715163	-0.24042455	-0.24010323	-0.24008911	-0.24110103	-0.24009713	-0.24637568	-0.24379334	-0.2405441
13	333	5	7	-0.40068093	-0.29212956	-0.24493301	-0.23408072	-0.23278372	-0.23610725	-0.24003282	-0.24015311	-0.24022425	-0.24536462	-0.24007318	-0.24005162	-0.2400964	-0.2454052	-0.2442804
14	444	5	7	-0.40068093	-0.29212954	-0.24493041	-0.23410762	-0.23287865	-0.23546914	-0.23711736	-0.23719182	-0.24004907	-0.24008079	-0.24034374	-0.24248638	-0.24010603	-0.24126197	-0.24400782
15	555	5	7	-0.40068093	-0.29212954	-0.24493256	-0.23408625	-0.23278027	-0.23554917	-0.23716013	-0.23715849	-0.2400332	-0.23922459	-0.24492413	-0.24042765	-0.24007933	-0.24011657	-0.24562869
16	666	5	7	-0.40068093	-0.29212958	-0.24493063	-0.23408231	-0.23603402	-0.23283944	-0.2369746	-0.2402144	-0.24007567	-0.23721435	-0.24001717	-0.24017745	-0.24011155	-0.24538281	-0.24542743
