RunAcc	Strain
DRR015087	IFM 55369
DRR015088	IFM 55369
DRR015089	IFM 55369
DRR015090	IFM 59056
DRR015091	IFM 59056
DRR015092	IFM 59056
DRR015093	IFM 59056
DRR015094	IFM 59359
DRR015095	IFM 59359
DRR015096	IFM 59359
DRR015097	IFM 59361
DRR015098	IFM 59361
DRR015099	IFM 59361
DRR015100	IFM 60514
DRR015101	IFM 60514
DRR015102	IFM 60514
DRR015103	IFM 59073
DRR015104	IFM 59073
DRR015105	IFM 59073
DRR015106	IFM 59073
DRR015107	IFM 61407
DRR015108	IFM 61407
DRR015109	IFM 61407
DRR015110	IFM 61610
DRR015111	IFM 61610
DRR015112	IFM 61610
DRR017535	IFM 58026
DRR017536	IFM 58026
DRR017537	IFM 58026
DRR017538	IFM 58029
DRR017539	IFM 58029
DRR017540	IFM 58029
DRR017541	IFM 58401
DRR017542	IFM 58401
DRR017543	IFM 58401
DRR017544	IFM 59365
DRR017545	IFM 59365
DRR017546	IFM 59365
DRR017547	IFM 59777
DRR017548	IFM 59777
DRR017549	IFM 59777
DRR017550	IFM 61118
DRR017551	IFM 61118
DRR017552	IFM 61118
DRR017553	IFM 61578
DRR017554	IFM 61578
DRR017555	IFM 61578
DRR017556	IFM 62115
DRR017557	IFM 62115
DRR017558	IFM 62115
DRR017559	IFM 62516
DRR017560	IFM 62516
DRR017561	IFM 62516
DRR022915	IFM 59355-1
DRR022916	IFM 59355-1
DRR022917	IFM 59355-2
DRR022918	IFM 59355-2
DRR022919	IFM 59356-1
DRR022920	IFM 59356-1
DRR022921	IFM 59356-2
DRR022922	IFM 59356-2
DRR022923	IFM 59356-3
DRR022924	IFM 59356-3
DRR022925	IFM 59361-1
DRR022926	IFM 59361-2
DRR022927	IFM 60237
DRR032500	JCM 10253
ERR062316	A_fumigatus_v67-37
ERR062317	A_fumigatus_v67-36
ERR232405	CF337
ERR232406	AF293-VKBR1
ERR232407	AF293-VKWH2
ERR232408	SF3S10
ERR232409	M128
ERR232410	CF098
ERR232411	SF4S10
ERR232412	F18454
ERR232413	F20140
ERR232414	F21732
ERR232415	SF1S6
ERR232417	F17999
ERR232418	F18329
ERR232419	AF300
ERR232420	AF300
ERR232421	F21857
ERR232422	SF2S6
ERR232423	CEA10-2
ERR232424	JN10
ERR232425	AF293-VKBR3
ERR232426	CEA10-MCH
ERR232427	CEA10-2
ERR232428	CEA10-MCH
ERR232429	AP65
ERR232430	D17
ERR232431	SF3S1
ERR232432	SF2S9
ERR232434	F4S1B
ERR232436	F20063
ERR232437	F20451
ERR232438	SF1S5
ERR232439	F18304
ERR232440	F21572
ERR232441	RSF2S8
ERR232442	F18149-Manchester
ERR769498	Af293
ERR769499	Af65
ERR769500	12-7505446
ERR769501	12-7505220
ERR769502	09-7500806
ERR769503	12-7504652
ERR769504	12-7504462
ERR769505	12-7505054
ERR769506	08-12-12-13
ERR769507	08-36-03-25
ERR769508	08-31-08-91
ERR769509	08-19-02-61
ERR769510	08-19-02-30
ERR769511	10-01-02-27
ERR769512	08-19-02-46
ERR769513	08-19-02-10
ERR769514	Afu_942/09
ERR769515	Afu_1042/09
ERR769516	Afu_343/P/11
ERR769517	Afu_591/12
ERR769518	Afu_124/E11
ERR769519	Afu_166/E11
ERR769520	Afu_257/E11
ERR769521	Afu_218/E11
SRR068950	A1163
SRR068951	AF210
SRR159251	NCPF-7816
SRR159252	NCPF-7811
SRR159253	NCPF-7820
SRR159254	NCPF-7822
SRR2954803	LMB-35Aa
SRR334209	Af10
SRR343134	B5852
SRR343135	B5854
SRR343136	B5856
SRR343137	B5859
SRR343138	B5863
SRR343139	B5866
SRR343140	B5868
SRR343141	B6069
SRR343142	B6074
SRR343143	B6078
SRR343145	B6079
SRR343146	B6081
SRR343149	F11628
SRR343150	F12865
SRR343152	F15767
SRR4002443	ISSF_21
SRR4002444	1F1SW_F4
SRR4142436	A1159
SRR4142832	A1159-T0-2
SRR5676586	MO68507EXP
SRR5676587	MO54056EXP
SRR5676588	MO76959EXP
SRR5676589	MO69250EXP
SRR5676590	MO79587EXP
SRR5676591	MO78722EXP
SRR5676592	MO91298SB
SRR5676593	MO89263LAB
SRR617720	AF41
SRR617721	AF72
SRR617722	AF90
SRR617723	F12041
SRR617724	F12219
SRR617725	F12636
SRR617726	F13535
SRR617727	F13619
SRR617728	F13952
SRR617729	F14403
SRR617730	F14513G
SRR617731	F14532
SRR617732	F14946G
SRR617733	F15390
SRR617734	F15927
SRR617735	F16134
SRR617736	F16216
SRR617737	F16311
SRR617738	F17582
SRR617739	F17729
SRR617740	F17729W
SRR617741	F5211G
SRR617742	F18085
SRR617743	F18149-JCVI
SRR617744	F7763
SRR617745	F17764
SRR6434917	Af-M1509-D
SRR6434918	M5960-D
SRR7418922	CM3262
SRR7418923	CM2733
SRR7418924	CM2730
SRR7418925	CM7560
SRR7418926	CM3249
SRR7418927	CM3720
SRR7418928	CM4602
SRR7418929	CM3249b
SRR7418930	CM2495
SRR7418931	AF293
SRR7418932	akuBKU80
SRR7418933	CM7570
SRR7418934	CEA10
SRR7418935	ATCC 46645
SRR7418936	CM6458
SRR7418937	CM6126
SRR7418938	CM7555
SRR7418939	CM7510
SRR7418940	TP12
SRR7418941	CM7632
SRR7418942	CM237
SRR7418943	ATCC 204305
SRR7418944	CM5419
SRR7418945	CM3248
SRR7418946	TP32
SRR7418947	CM2141
SRR7418948	CM4946
SRR7418949	CM5757
COH371	COH_371
COH400	COH_400
COH694	COH_694
COH762	COH_762
COH880	COH_880
COH885	COH_885
COH913	COH_913
COH934	COH_934
COH1192	COH_1192
B6_CDC_4	B6893_CDC-4
AFCDC_1	AFIS_2101_CDC-1
B68_3	B6892_CDC-3
