name_pop_genome_old	name_pop_genome_new	name_Pan_genome	OF_name	name_to_use_in_paper	clade	MAT_type
08_12_12_13	08-12-12-13	Afum_08_12_12_13	08_12_12_13	08-12-12-13	2	MAT1
08_19_02_10	08-19-02-10	Afum_08_19_02_10	08_19_02_10	08-19-02-10	2	MAT2
08_19_02_30	08-19-02-30	Afum_08_19_02_30	08_19_02_30	08-19-02-30	1	MAT1
08_19_02_46	08-19-02-46	Afum_08_19_02_46	08_19_02_46	08-19-02-46	2	MAT1
08_19_02_61	08-19-02-61	Afum_08_19_02_61	08_19_02_61	08-19-02-61	2	MAT1
08_31_08_91	08-31-08-91	Afum_08_31_08_91	08_31_08_91	08-31-08-91	2	MAT1
08_36_03_25	08-36-03-25	Afum_08_36_03_25	08_36_03_25	08-36-03-25	2	unknown
09_7500806	09-7500806	Afum_09_7500806	09_7500806	09-7500806	1	MAT2
10_01_02_27	10-01-02-27	Afum_10_01_02_27	10_01_02_27	10-01-02-27	2	MAT2
12_7504462	12-7504462	Afum_12_7504462	12_7504462	12-7504462	1	MAT2
12_7504652	12-7504652	Afum_12_7504652	12_7504652	12-7504652	2	MAT1
12_7505054	12-7505054	Afum_12_7505054	12_7505054	12-7505054	2	MAT1
12_7505220	12-7505220	Afum_12_7505220	12_7505220	12-7505220	2	MAT1
12_7505446	12-7505446	Afum_12_7505446	12_7505446	12-7505446	2	MAT1
1F1SW_F4	1F1SW_F4	Afum_1F1SW_F4	1F1SW_F4	1F1SW_F4	1	MAT2
A_fum_117535A_1_1	117535A-1.1	Afum_117535A_1_1	117535A_1_1	A_fum_117535A-1.1	1	MAT1
A_fum_84_NIH	84-NIH	Afum_84_NIH	84_NIH	A_fum_84-NIH	1	MAT2
A_fum_AF100_1_11	AF100-1_11	Afum_DMC2_AF100_1_11	DMC2_AF100_1_11	AF100-1_11	1	MAT1
A_fum_AF100_1_14	AF100-1_14	Afum_DMC2_AF100_1_14	DMC2_AF100_1_14	AF100-1_14	1	MAT2
A_fum_AF100_1_18	AF100-1_18	Afum_DMC2_AF100_1_18	DMC2_AF100_1_18	AF100-1_18	1	unknown
A_fum_AF100_1_20_OE	AF100-1_20_OE	Afum_DMC2_AF100_1_20_OE	DMC2_AF100_1_20_OE	AF100-1_20_OE	1	MAT2
A_fum_AF100_1_24	AF100-1_24	Afum_DMC2_AF100_1_24	DMC2_AF100_1_24	AF100-1_24	1	MAT2
A_fum_AF100_1_3	AF100-1_3	Afum_DMC2_AF100_1_3	DMC2_AF100_1_3	AF100-1_3	1	unknown
A_fum_AF100_1_4	AF100-1_4	Afum_DMC2_AF100_1_4	DMC2_AF100_1_4	AF100-1_4	1	MAT1
A_fum_AF100_1_8	AF100-1_8	Afum_DMC2_AF100_1_8	DMC2_AF100_1_8	AF100-1_8	1	MAT1
A_fum_AF100_10_5	AF100-10_5	Afum_AF100_10_5	AF100_10_5	AF100-10_5	1	MAT2
A_fum_AF100_10A	AF100-10A	Afum_AF100_10A	AF100_10A	AF100-10A	1	MAT1
A_fum_AF100_10B	AF100-10B	Afum_AF100_10B	AF100_10B	AF100-10B	1	MAT1
A_fum_AF100_10C	AF100-10C	Afum_AF100_10C	AF100_10C	AF100-10C	1	MAT1
