totals	strain	pop_name
692	AF100_12_21	AF100-12_21
707	AF100_12_35	AF100-12_35
708	08_19_02_46	08-19-02-46
745	AF100_12_18	AF100-12_18
749	117535A_1_1	117535A-1.1
770	DMC2_AF100_1_24	AF100-1_24
774	W72310	W72310
815	IFM_62516	IFM_62516
816	CM2141	CM2141
827	B6081	B6081
872	B5288_CDC_16	B5288_CDC-16
884	DMC2_AF100_1_18	AF100-1_18
963	CM2495	CM2495
1020	CM7560	CM7560
1036	F4S1B	F4S1B
1038	ATCC_204305	ATCC_204305
1058	DMC2_AF100_7B	AF100-7B
1064	IFM_61610	IFM_61610
1065	12_7504652	12-7504652
1065	12_7505054	12-7505054
1066	AF100_10A	AF100-10A
1067	MO91298SB	MO91298SB
1071	B5866	B5866
1072	AZTEC_12_128	AZTEC_12_128
1073	AF100_10B	AF100-10B
1074	CM3249b	CM3249b
1075	B5854	B5854
1076	AZTEC_18_233	AZTEC_18_233
1076	F16216	F16216
1079	AF100_12_4	AF100-12_4
1080	AF100_12_23	AF100-12_23
1080	AF41	AF41
1080	SF1S5	SF1S5
1081	IFM_59056	IFM_59056
1083	AP65	AP65
1083	B5269_CDC_24	B5269_CDC-24
1084	AF100_12_40	AF100-12_40
1084	Oryx_1	Oryx_1
1085	AF100_12_25	AF100-12_25
1085	AF100_12_26	AF100-12_26
1085	F18329	F18329
1087	AF100_12_17	AF100-12_17
1087	CM2730	CM2730
1087	TP32	TP32
1088	AF100_12_13	AF100-12_13
1088	B5856	B5856
1089	B5852	B5852
1090	DMC2_AF100_8B	AF100-8B
1091	F17764	F17764
1093	B5863	B5863
1098	DMC2_AF100_12_9	AF100-12_9
1099	AF100_12_8	AF100-12_8
1101	AZTEC_14_484	AZTEC_14_484
1101	CM4946	CM4946
1104	F12219	F12219
1104	LMB_35Aa	LMB-35Aa
1105	SF3S1	SF3S1
1108	1F1SW_F4	1F1SW_F4
1108	AF100_12_7	AF100-12_7
1110	CM3249	CM3249
1111	DMC2_AF100_6B	AF100-6B
1111	SF3S10	SF3S10
1112	AF106_6_9	AF106-6_9
1113	B5868	B5868
1113	F15927	F15927
1113	M5960_D	M5960-D
1115	A1159	A1159
1115	AF106_6_5	AF106-6_5
1115	CM3262	CM3262
1115	DMC2_AF100_5B	AF100-5B
1116	Afu_218_E11	Afu_218-E11
1116	DMC2_AF100_3B	AF100-3B
1117	Afu_942_09	Afu_942-09
1117	NCPF_7822	NCPF-7822
1118	Afu_1042_09	Afu_1042-09
1118	Afu_166_E11	Afu_166-E11
1118	SF2S9	SF2S9
1119	AFIS_2302_CDC_18	AFIS_2302_CDC-18
1119	Afu_591_12	Afu_591-12
1119	D17	D17
1120	CM2733	CM2733
1121	AF72	AF72
1123	DMC2_AF100_12_42	AF100-12_42
1125	AF100_12_37	AF100-12_37
1125	IFM_60514	IFM_60514
1126	AF100_11_3	AF100-11_3
1126	NCPF_7820	NCPF-7820
1127	08_19_02_10	08-19-02-10
1127	F14946G	F14946G
1130	CM3720	CM3720
1131	12_7505446	12-7505446
1131	F14513G	F14513G
1132	DMC2_AF100_4B	AF100-4B
1135	F17729W	F17729W
1136	SF1S6	SF1S6
1137	AZTEC_8_224	AZTEC_8_224
1137	F16134	F16134
1138	F20140	F20140
1139	F13535	F13535
1139	IFM_58401	IFM_58401
1140	AF100_12_10	AF100-12_10
1140	AF100_12_3G	AF100-12_3G
1140	AF100_12_5	AF100-12_5
1141	AF100_11C	AF100-11C
1141	AFIS_2101_CDC_1	AFIS_2101_CDC-1
1144	Afu_124_E11	Afu_124-E11
1145	CM4602	CM4602
1147	AF100_12_2	AF100-12_2
1147	AF106_6_3	AF106-6_3
1148	AF100_12_32	AF100-12_32
1150	F11628	F11628
1151	Afu_257_E11	Afu_257-E11
1151	F13952	F13952
1153	AF100_12_24	AF100-12_24
1153	AF100_12_2W	AF100-12_2W
1153	CM5757	CM5757
1154	IFM_59355_1	IFM_59355-1
1155	AZTEC_4_250	AZTEC_4_250
1157	AZTEC_5_223	AZTEC_5_223
1158	NCPF_7811	NCPF-7811
1159	AF100_10_5	AF100-10_5
1159	F17729	F17729
1160	B5859	B5859
1161	CM6458	CM6458
1161	IFM_59355_2	IFM_59355-2
1162	AZTEC_11_1066	AZTEC_11_1066
1162	B5259_CDC_23	B5259_CDC-23
1164	AFUG_031815_1869	AFUG_031815-1869
1165	RSF2S8	RSF2S8
