totals	strain	pop_name
0	AF100_12_23	AF100-12_23
1	08_12_12_13	08-12-12-13
1	08_19_02_30	08-19-02-30
1	12_7504652	12-7504652
1	AFIS1435_CDC_6	AFIS1435_CDC_6
1	AFUG_100413_0667	AFUG_100413-0667
1	ATCC_204305	ATCC_204305
1	Afu_1042_09	Afu_1042-09
1	Afu_124_E11	Afu_124-E11
1	Afu_166_E11	Afu_166-E11
1	Afu_257_E11	Afu_257-E11
1	Afu_591_12	Afu_591-12
1	B5852	B5852
1	B5854	B5854
1	B5863	B5863
1	B5866	B5866
1	B6079	B6079
1	B6893_CDC_4	B6893_CDC-4
1	CM2141	CM2141
1	CM3249b	CM3249b
1	CM7560	CM7560
1	DMC2_AF100_12_42	AF100-12_42
1	DMC2_AF100_1_4	AF100-1_4
1	DMC2_AF100_3B	AF100-3B
1	DMC2_AF100_8B	AF100-8B
1	F12865	F12865
1	F13535	F13535
1	F14403	F14403
1	F14513G	F14513G
1	F14946G	F14946G
1	F17729W	F17729W
1	F17764	F17764
1	IFM_59355_1	IFM_59355-1
1	IFM_59355_2	IFM_59355-2
1	SF3S1	SF3S1
2	12_7505220	12-7505220
2	A1159	A1159
2	AF293	AF293
2	AF41	AF41
2	AFIS_2101_CDC_1	AFIS_2101_CDC-1
2	AFUG_082015_1200	AFUG_082015-1200
2	AP65	AP65
2	Afu_218_E11	Afu_218-E11
2	Afu_343_P_11	Afu_343-P-11
2	Afu_942_09	Afu_942-09
2	B5224_CDC_21	B5224_CDC-21
2	B5258_CDC_22	B5258CDC_22
2	B5259_CDC_23	B5259_CDC-23
2	B5868	B5868
2	B6074	B6074
2	B6078	B6078
2	B6892_CDC_3	B6892_CDC-3
2	B7586_CDC_30	B7586_CDC-30
2	CM3248	CM3248
2	CM5757	CM5757
2	DMC2_AF100_12_9	AF100-12_9
2	DMC2_AF100_1_20_OE	AF100-1_20_OE
2	DMC2_AF100_2B	AF100-2B
2	DMC2_AF100_5B	AF100-5B
2	DMC2_AF100_7B	AF100-7B
2	DMC2_AF100_9B	AF100-9B
2	F12041	F12041
2	F12636	F12636
2	F13952	F13952
2	F14532	F14532
2	F15390	F15390
2	F16134	F16134
2	F16216	F16216
2	F16311	F16311
2	F18085	F18085
2	MO69250EP	MO69250EXP
2	MO91298SB	MO91298SB
2	SF3S10	SF3S10
3	10_01_02_27	10-01-02-27
3	12_7505446	12-7505446
3	1F1SW_F4	1F1SW_F4
3	84_NIH	84-NIH
3	AF210	AF210
3	AF72	AF72
3	AF90	AF90
3	AFIS_13708_CDC_14	AFIS_13708_CDC-14
3	AZTEC_2_251	AZTEC_2_251
3	B5856	B5856
3	B5960_CDC_29	B5960CDC_29
3	B6894_CDC_5	B6894CDC_5
3	B7594_CDC_27	B7594CDC_27
3	CM2730	CM2730
3	CM3262	CM3262
3	CM3720	CM3720
3	CM4602	CM4602
3	COH_880	COH_880
3	COH_913	COH_913
3	DMC2_AF1001_15	AF1001_15
3	DMC2_AF100_4B	AF100-4B
3	DMC2_AF100_6B	AF100-6B
3	F11628	F11628
3	F12219	F12219
3	F15767	F15767
3	F17582	F17582
3	F17729	F17729
3	F18149_JCVI	F18149-JCVI
3	F18329	F18329
3	IFM_59056	IFM_59056
3	IFM_60514	IFM_60514
3	M5960_D	M5960-D
3	MO54056EP	MO54056EXP
3	NCPF_7816	NCPF-7816
3	NCPF_7822	NCPF-7822
3	SF1S5	SF1S5
4	08_19_02_61	08-19-02-61
4	117535A_1_1	117535A-1.1
4	AF100_12_35	AF100-12_35
4	AFIS_2302_CDC_18	AFIS_2302_CDC-18
4	AZTEC_3_226	AZTEC_3_226
4	Af65	Af65
4	Af_M1509_D	Af-M1509-D
4	B5288_CDC_16	B5288_CDC-16
4	B5289_CDC_25	B5289_CDC-25
4	B7444_CDC_7	B7444_CDC-7
4	B7518_CDC_26	B7518_CDC-26
4	CEA10	CEA10
4	CM2495	CM2495
4	CM2733	CM2733
4	CM7555	CM7555
4	COH_694	R2_COH_694
4	DMC2_AF100_1_8	AF100-1_8
4	F5211G	F5211G
4	IFM_55369	IFM_55369
4	IFM_59777	IFM_59777
4	IFM_61118	IFM_61118
4	IFM_61610	IFM_61610
4	MO68507EP	MO68507EXP
4	MO79587EP	MO79587EXP
4	Oryx_1	Oryx_1
4	SF2S9	SF2S9
