SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Mapping_Percent	Average_Coverage
08-12-12-13	284	28009725	500	1019797	6459	98625.79	22	465633	67	105503	99.5	99.5	0.0	0.1	0.4	4191	37188916	36295513	97.60	129.6
08-19-02-10	274	27938341	504	1320770	5704	101964.75	21	420069	67	124469	99.6	99.6	0.0	0.1	0.3	4191	55211358	53608811	97.10	191.9
08-19-02-30	243	28364212	500	1409676	7268	116725.15	18	507403	60	126874	99.6	99.5	0.1	0.1	0.3	4191	47709296	46159171	96.75	162.7
08-19-02-46	311	28275959	503	1309679	4472	90919.48	20	404310	76	110323	99.5	99.5	0.0	0.2	0.3	4191	52470846	50974325	97.15	180.3
08-19-02-61	255	28328094	502	1355876	10091	111090.56	22	427632	71	100588	99.5	99.5	0.0	0.2	0.3	4191	55499108	53871632	97.07	190.2
08-31-08-91	279	28370352	503	1449650	4439	101685.85	18	446515	64	105524	99.6	99.6	0.0	0.1	0.3	4191	49169698	47882504	97.38	168.8
08-36-03-25	536	28982791	504	1333900	2259	54072.37	24	383300	85	85269	99.6	99.5	0.1	0.1	0.3	4191	49716646	47826376	96.20	165.0
09-7500806	277	28944067	501	1131411	6632	104491.22	20	493493	60	125286	99.7	99.6	0.1	0.1	0.2	4191	47158380	45578414	96.65	157.5
10-01-02-27	268	28467737	500	1024105	6289	106222.90	22	447757	66	128266	99.5	99.5	0.0	0.2	0.3	4191	49553184	47960193	96.79	168.5
117535A-1.1	199	28228949	514	943058	55951	141854.02	26	348703	82	102970	99.5	99.5	0.0	0.1	0.4	4191	14023394	13422267	95.71	71.3
12-7504462	221	28890402	503	1849455	8972	130725.80	17	507993	57	156940	97.5	97.4	0.1	0.1	2.4	4191	51704962	49201487	95.16	170.3
12-7504652	290	27919344	503	1135399	4444	96273.60	19	507424	62	119081	99.5	99.5	0.0	0.2	0.3	4191	46495606	45120305	97.04	161.6
12-7505054	269	28136669	501	1049293	10005	104597.28	22	416291	69	100574	99.5	99.5	0.0	0.1	0.4	4191	53816418	52215723	97.03	185.6
12-7505220	395	28943139	500	1628102	3471	73273.77	19	452062	76	83246	99.6	99.5	0.1	0.2	0.2	4191	52838544	51331501	97.15	177.4
12-7505446	269	28390179	506	1233380	13039	105539.70	22	422452	76	90912	99.6	99.5	0.1	0.1	0.3	4191	56147486	54493164	97.05	191.9
1F1SW_F4	209	27955841	501	1942531	6029	133760.00	14	627787	50	139412	99.6	99.6	0.0	0.1	0.3	4191	10752032	10357949	96.33	37.4
204NB-8	1553	32160543	507	199271	11152	20708.66	235	42507	779	11104	97.0	96.9	0.1	1.2	1.8	4191	13536200	8574837	63.35	40.3
84-NIH	189	28031233	540	915698	76882	148313.40	27	351120	84	106781	99.6	99.6	0.0	0.1	0.3	4191	15342440	14652359	95.50	78.4
